Ozone,Solar.R,Wind,Temp,Date
41,190.0,7.4,67,1973-05-01
36,118.0,8.0,72,1973-05-02
12,149.0,12.6,74,1973-05-03
18,313.0,11.5,62,1973-05-04
19,,14.3,56,1973-05-05
28,,14.9,66,1973-05-06
23,299.0,8.6,65,1973-05-07
19,99.0,13.8,59,1973-05-08
8,19.0,20.1,61,1973-05-09
20,194.0,8.6,69,1973-05-10
7,,6.9,74,1973-05-11
16,256.0,9.7,69,1973-05-12
11,290.0,9.2,66,1973-05-13
14,274.0,10.9,68,1973-05-14
18,65.0,13.2,58,1973-05-15
14,334.0,11.5,64,1973-05-16
34,307.0,12.0,66,1973-05-17
6,78.0,18.4,57,1973-05-18
30,322.0,11.5,68,1973-05-19
11,44.0,9.7,62,1973-05-20
1,8.0,9.7,59,1973-05-21
11,320.0,16.6,73,1973-05-22
4,25.0,9.7,61,1973-05-23
32,92.0,12.0,61,1973-05-24
17,66.0,16.6,57,1973-05-25
18,266.0,14.9,58,1973-05-26
15,,8.0,57,1973-05-27
23,13.0,12.0,67,1973-05-28
45,252.0,14.9,81,1973-05-29
115,223.0,5.7,79,1973-05-30
37,279.0,7.4,76,1973-05-31
34,286.0,8.6,78,1973-06-01
29,287.0,9.7,74,1973-06-02
18,242.0,16.1,67,1973-06-03
48,186.0,9.2,84,1973-06-04
49,220.0,8.6,85,1973-06-05
26,264.0,14.3,79,1973-06-06
29,127.0,9.7,82,1973-06-07
62,273.0,6.9,87,1973-06-08
71,291.0,13.8,90,1973-06-09
39,323.0,11.5,87,1973-06-10
56,259.0,10.9,93,1973-06-11
62,250.0,9.2,92,1973-06-12
23,148.0,8.0,82,1973-06-13
27,332.0,13.8,80,1973-06-14
26,322.0,11.5,79,1973-06-15
21,191.0,14.9,77,1973-06-16
37,284.0,20.7,72,1973-06-17
20,37.0,9.2,65,1973-06-18
12,120.0,11.5,73,1973-06-19
13,137.0,10.3,76,1973-06-20
49,150.0,6.3,77,1973-06-21
70,59.0,1.7,76,1973-06-22
69,91.0,4.6,76,1973-06-23
52,250.0,6.3,76,1973-06-24
44,135.0,8.0,75,1973-06-25
55,127.0,8.0,78,1973-06-26
23,47.0,10.3,73,1973-06-27
50,98.0,11.5,80,1973-06-28
24,31.0,14.9,77,1973-06-29
66,138.0,8.0,83,1973-06-30
135,269.0,4.1,84,1973-07-01
49,248.0,9.2,85,1973-07-02
32,236.0,9.2,81,1973-07-03
39,101.0,10.9,84,1973-07-04
64,175.0,4.6,83,1973-07-05
40,314.0,10.9,83,1973-07-06
77,276.0,5.1,88,1973-07-07
97,267.0,6.3,92,1973-07-08
97,272.0,5.7,92,1973-07-09
85,175.0,7.4,89,1973-07-10
46,139.0,8.6,82,1973-07-11
10,264.0,14.3,73,1973-07-12
27,175.0,14.9,81,1973-07-13
42,291.0,14.9,91,1973-07-14
7,48.0,14.3,80,1973-07-15
48,260.0,6.9,81,1973-07-16
35,274.0,10.3,82,1973-07-17
61,285.0,6.3,84,1973-07-18
79,187.0,5.1,87,1973-07-19
63,220.0,11.5,85,1973-07-20
16,7.0,6.9,74,1973-07-21
50,258.0,9.7,81,1973-07-22
49,295.0,11.5,82,1973-07-23
80,294.0,8.6,86,1973-07-24
108,223.0,8.0,85,1973-07-25
20,81.0,8.6,82,1973-07-26
52,82.0,12.0,86,1973-07-27
82,213.0,7.4,88,1973-07-28
50,275.0,7.4,86,1973-07-29
64,253.0,7.4,83,1973-07-30
59,254.0,9.2,81,1973-07-31
39,83.0,6.9,81,1973-08-01
9,24.0,13.8,81,1973-08-02
16,77.0,7.4,82,1973-08-03
78,,6.9,86,1973-08-04
35,,7.4,85,1973-08-05
66,,4.6,87,1973-08-06
122,255.0,4.0,89,1973-08-07
89,229.0,10.3,90,1973-08-08
110,207.0,8.0,90,1973-08-09
79,222.0,8.6,92,1973-08-10
48,137.0,11.5,86,1973-08-11
44,192.0,11.5,86,1973-08-12
28,273.0,11.5,82,1973-08-13
65,157.0,9.7,80,1973-08-14
32,64.0,11.5,79,1973-08-15
22,71.0,10.3,77,1973-08-16
59,51.0,6.3,79,1973-08-17
23,115.0,7.4,76,1973-08-18
31,244.0,10.9,78,1973-08-19
44,190.0,10.3,78,1973-08-20
21,259.0,15.5,77,1973-08-21
9,36.0,14.3,72,1973-08-22
24,255.0,12.6,75,1973-08-23
45,212.0,9.7,79,1973-08-24
168,238.0,3.4,81,1973-08-25
73,215.0,8.0,86,1973-08-26
87,153.0,5.7,88,1973-08-27
76,203.0,9.7,97,1973-08-28
118,225.0,2.3,94,1973-08-29
84,237.0,6.3,96,1973-08-30
85,188.0,6.3,94,1973-08-31
96,167.0,6.9,91,1973-09-01
78,197.0,5.1,92,1973-09-02
73,183.0,2.8,93,1973-09-03
91,189.0,4.6,93,1973-09-04
47,95.0,7.4,87,1973-09-05
32,92.0,15.5,84,1973-09-06
20,252.0,10.9,80,1973-09-07
23,220.0,10.3,78,1973-09-08
21,230.0,10.9,75,1973-09-09
24,259.0,9.7,73,1973-09-10
44,236.0,14.9,81,1973-09-11
21,259.0,15.5,76,1973-09-12
28,238.0,6.3,77,1973-09-13
9,24.0,10.9,71,1973-09-14
13,112.0,11.5,71,1973-09-15
46,237.0,6.9,78,1973-09-16
18,224.0,13.8,67,1973-09-17
13,27.0,10.3,76,1973-09-18
24,238.0,10.3,68,1973-09-19
16,201.0,8.0,82,1973-09-20
13,238.0,12.6,64,1973-09-21
23,14.0,9.2,71,1973-09-22
36,139.0,10.3,81,1973-09-23
7,49.0,10.3,69,1973-09-24
14,20.0,16.6,63,1973-09-25
30,193.0,6.9,70,1973-09-26
23,145.0,13.2,77,1973-09-27
14,191.0,14.3,75,1973-09-28
18,131.0,8.0,76,1973-09-29
20,223.0,11.5,68,1973-09-30
