content,score
'그때 미국 영화들은 우리나라에서 볼수 없는 새로운 세계를 보여주는 신세계였다.. 액션 스토리 재미 모두 만족시킨 영화..',9
'나 엔시티 드림 사랑하네..',10
'나름 재밌게 보고 친구한테 추천해줌 ㅋ',10
'평이 좋아서 적당히 기대하고 갔는데 끝날때까지 몰입해서 봤습니다. 상상력과 역사가 더해지니 너무 재밌는 것!',10
'코미디 요소가 너무 강해서 몰입이 떨어짐 우습긴 하네요',2
'윤시윤 연기가 장난아니네요~ 한층 업그레이드된 윤시윤 짱이에요~',10
'감독님 티모시랑 또 같이 해주세요',10
'한국 영화 중 제일 재밌었다',10
'1999년 영화혁명이 일어났다! 니가 살고있는 세계를 의심하라!',10
'',10
'몰입도와 연기는 좋지만 딱 거기까지. 그렇다고 영화로서 매력이 없는 건 아니다.',8
'진짜 아무 기대도 정보도 없이 갔는데 생각지도 못한 재미가 있었음. 중반부터 스릴있어지는데 배우들 연기도 미쳤고 돈 안아까움. 오랜만에 재미난 한국영화봤네ㅋ 엔딩은 조금 아쉽긴하지만',10
'특정 시점부터 휘몰아치는 긴장선이 후반부까지 힘있게 이어져 몰입도 높게 관람했습니다. 반전을 극대화한 연출력이 인상적입니다.',9
'윤시윤배우 승승장구 하시길!!너무 감동적입니다',10
'압꾸정이  꾸정물  되버렸어...정말 시간가는줄 알구 봤다.',1
'핵노잼 개재미없음 보지마3',1
'재밌었는데 난?ㅋㅋ 마동석님 양x치 컨셉도잘 소화하시네요',8
'짝사랑이란 훨씬 더 독하고 맹목적이다',8
'최고다. 왕이 왜 이순신 장군님의 승전보를 두려워했는지 알 수 있겠음.  왕 보다 대단한 이순.신.!!! 내가 저 시대에 백성이였어도 도망치는 왕보다 이순신 장군님이 더 하늘 같았을 듯. 그것이 두려워... 추잡한 짓을 ㅡㅡ...  영상 정말 시원시원. 연출도 예상치 못한 반전아닌 반전들로 속시원함...♡ &amp;#39;명량&amp;#39;보다 더 대단한 작품을 만나게 될 줄이야..ㅜㅜ♡',10
'수준 높은 연출미친 연기력에좋아하는 스릴러 라니...10점을 안줄 수가 없다',10
'감동 그 자체이 영화가 탄생할 수 있도록 애써주신 모든 분들께 감사합니다.',10
'다른 어떤 시리즈 보다 개그신이 마음에 듦',9
'그래서 그대를,10
'왕이 싸이코패스이면 무슨 일이 벌어지는가. 실제로 사건을 은폐하려고 얼마나 많은 궁인들이 죽었나. 소현 세자 가족의 비극 뒤에 아무 죄 없이 죽어간 궁인들이 보였다. 인권 따위 없던 시절 왕이 소시오패스일 때 벌어지는 일이 소름끼치게 생생하게 보여준다.(연산군,9
'세계 최상류층의 권력 집단 정말 존재할까. 직접 확인해본 사람만이 알겠지. ',10
'재미는 있는데 전개가 공감이 안가는 부분이 많네요.',6
'진짜 잘만들었다 오랜만에 시간가는줄모르고봄',10
'반전에 반전..! 류준열 연기 왤케 잘하지너무 재밌게 봄ㅜㅜ 으아아아 하면서',10
'연기만 좋고 나머지 감동도 스토리도 웃음도....',1
'평 왜안좋은지 왜이영화가 마이너스인지 도무지 이해안감 진짜 최고의 작품 감동 실제있었던 일은 우리가 잊어버려선 안된다 ',10
'신랑이 보자고 해서 내용 모르고 그냥 따라간건데 몰입하면서 재밌게 봤어요다 보고 나오면서도 감탄하면서 주변사람들한테 추천해줘야겠다 싶었습니다~~~',10
'아직 솜털이 보송보송한 저 아이를...ㅠㅠ ',10
'근래 본 한국영화 중 최고',9
'미라시도시라미~ 미라시도시라파~ 이 음악이 너무내 스타일.스토리는 MBTI S와 N의 갈등을 표현한듯.',8
'',10
'네가 매리 앤을 사랑하지 않은 건 아냐. 단지 더 사랑한 사람이 있었던 거지. 바로 너 자신이야. ',10
'소수자의 삶을 보여준다기엔 타인에게 피해를 입힌다는 점에서 작픔에 과도한 의미부여는 하기 싫고 나는 그저 설리가 너무 너무 싫었다. 결국 흔해빠진 이야기가 돼버린. ',6
'아름다운 영화에 가장 어울리는 아름다운 음성이렇게 완벽하기도 어려워요',10
"'출연배우 보고 선택했는데 연기,스토리 등 후회없음~ 강추'",10
'러닝타임이 길어서 지루하지않을까. 걱정했는데 정말 감동적이였고. 김대건 신부님의 그 열정의 대단함에 다시 한번 놀랐고너무 감동적이고 재밌게 잘봤어요.',10
'오랜만에 분초마다 강동받고 시간가는게 아깝게 느껴졌다 박찬욱님 박해일님 탕웨이님모두 최고였다 이런 영화도 만들어질수 있구나..감탄했다  최고의 영화임',10
'후반으로 스토리가 진행될 수록 영화관에 계시던 남성분들도 우시는걸 직접 목격했습니다. (남성향 영화라 그런가..)극장 곳곳에서 훌쩍이는 소리가...ㅎㅎ저도 엄청움 책을 읽으셨다면 전 배우 라인업에 정말 만족하고 이정도면 스토리 재현도 참 잘한것 같습니다. 연출이 끝내줘요 눈물 터지게하는 빌드업을 잘하고요... 오버랩을 진짜 잘씀 영화끝나고 화장실가서도 안울줄 알았는데 울어다 꽤나 슬프더라 라는 말을 많이 들었을 정도로 감성적인 영화인듯 합니다. 미치에다 슌스케 연기 정말 잘하는듯 해요 감정선 잘잡음 최고... 그리고 OST참 맘에들어요♡책도 유명했던 만큼 영화 보러가셔도 후회 없을듯. 특히 일본 로맨스 좋아하시는분들 추천 왜냠 기억상실 클리셰가 나오거던요 ^.^_♡',10
'반미 반일 왜끌고오냐 하.. 진짜 정신나갔냐ㅡㅡ',1
'이럴거면 보지 말걸... 그냥 ...리메이크..하지 않았어도 괜찮을 작품... 배우는 참 잘뽑았는데 말이야..',1
'진짜 재밌네요 3편 빨리 나왔으면 좋겠네요',10
'별점1점 주는 애들 타OTT 사람들입니다 블랙팬서 일단 보고 판단합시다 마블은 역시 굉장합니다 디즈니가 전세계OTT 구독자수 1위입니다',10
'액션연기의 수준이 보기가 부끄러움. 이런 걸 연출했다고 하기에는 창피함',1
'진짜 영화 보는 내내 핸드폰 시간 확인 했음.대사 너무 말도 안됨 아무리 IMF때 배경이라고 해도 저런 말 진짜 현실에서 썼는지 궁금하고 여진구 대사가 진짜 개 유치하고 오그라듬. 중간중간에 자연스럽게 대사하면 괜찮을 수 있는 부분들도 많은데 굳이 저런 대사로 써야됐나 생각이 많이 들었음.글고 조이현 남친역 진짜 연기 못함. 발연기까진 아닌데 많이 어색한 느낌이 강함.',1
'생각보다 지루했어요 ㅜㅜ',6
'숨 죽이고 보다가 너무 무서웠다가.. 슬프고 안타까웠어요.. 배우님들 모두 연기가 ㅎㄷㄷ..',10
'원피스 필름 레드',8
'1점도 아깝다 아기들도 안봄',1
'류준열 유해진 팬인데 어제 혼자 팝콘 먹으며 몰입도 최고 였으나 유해진 캐릭터가 원래 웃겨서 그런지 스릴러장면에서 심각한데 대사 표정이 너무 웃겼음요 너무 재밌었습니다~~~~강추(참고로 네이버리뷰는 첨 써본다는 사실은 안비밀!!!) 류준열배우 화이팅!!!',8
'노래 많이 나오는거 알고 봤으니 의외로 재밌게 봄',10
'예고편이 전부다',1
'시대의 편견도 막지 못한 진실한 사랑',7
'그만 볼 결심을 했어야.. 대사도 안들리고 탕웨이 한국말 왜 시켜서 짜증나게.. 자막 개필수',1
'배우의연기와 연출모두좋았어요~^^',10
'',10
'이런 영화가 실화를 기반으로 만들어 졌다는게 슬플 따름이다. 현실이 더 가혹하다.',10
'어렵다. 범죄를 방관하는 것 처럼만 느껴지는',5
'세남자와 아기 바구니는 프랑스 작품이예요?♂??♂??♂??♂??♂??♂?',10
'류준열 배우 연기 넘  좋았고  몰입감이 있는 감동스런 영화였습니다',10
'....?  내 시간 돌려줘  심장 빼앗기 전에',1
'대사와 연기자만 한국인이고 시나리오 연출 미술 수준 모두 중국냄새 물씬. 재미도 없고 감동도 없는 시간낭비 영화. 이간질이 영화의 주제인가?',2
'원작 만화부터 일본 원작 영화,6
'진짜진짜 울어!! 라고 하는 장면들이 있음 근데 나는 거기서 “네!!!!”하고 울게 됨 휴지 들고 가세여 다들..',10
'무교지만 재밌게  잘 봤습니다',10
'영화는 긴박하고 스릴있어서 재미있었음. 마야 문명이 잔혹하고 망할 징조가 있었다지만 너무 서구적 시선으로 쓰인듯하다. ',8
'올해 처음부터 끝까지 긴장감도 있고 몰입해서 본 영화~ 멋진 연기도 일품이였어요~',10
'정말 후반부….. 예상 못함……. 너무 놀랐음…. 역시 믿고 보는 루카구아다니노',10
'',10
'그냥 히어로물의. 영웅 우리가 동경하고 항상 갈망하는 영웅들의 본모습..다른 영화속 영웅들은 영웅행위로 관심 존경대놓고 받고 이기심과 자만심으로 결국 타락하는 영웅들속 진정한 영웅이 무엇인지 느끼게 해준영화 진정한 고독한 영웅은 그저 희생만 있고 댓가는 없을뿐 하지만 우린 그가 누군지 모르지만 동경한다..  그것이 고독한 영웅 다크나이트',10
'한결같은 사랑을 함. 아무리힘들고 아파도 사랑만 생각하는 순정남 .남주 눈빛에 반함 정말 잘생김',8
'질질끄는 전개에 지루하긴했지만 조니뎁이 멋있게 나옴. 러닝타임을 좀 줄였여도 괜찮을법한데 ㅠ',6
'우리의 의,10
'웃기려고 애쓰는듯한 느낌. 재미없룸',1
'',10
'망작특: 영화 줄거리 내용은 없고 배우들로 눈호강 했다고 하고 10점 줌',6
'22년에 봤는데 로코물의 정석인듯',10
'초반에 공연 깽판치러왔던놈들 루피가 참교육하고 추억팔이하면서 회포풀고 루피에 브룩도 있고 합동공연하나했는데... 노래 2곡째에서 설마 했지만... 3곡째부터 아... 겨울왕국2 처럼 이거 ost노래팔이다...조때씀을 감지.. 한곡만 얻어걸려라 심정으로 주구장창 노래부르다 끝나겠구나했는데 역시나... 급조된 노래들답게 오프닝곡들에 비해 퀄리티도 그닥..',5
'진짜 재미있었다. 처음에는 이 잔잔한 분위기와 트레일러를 연결짓지 못해 조금 지루하기도 했지만 자연스러운 분위기 반전과 갑작스런 반전이 너무나 재밌었다. 당일 영화관 자러 갔었는데 자기는 무슨 2시간동안 눈도 못 땠었다. 분명 모두가 눈을 쉽게 때지 못할 거라 생각한다. 그정도로 몰입되고 흥미로운 스토리다.',10
'마동석 이름만 보고 기대하고 봤다..머냐',1
'초반 액션스릴러 장르의 차별성을 갖는 소재가 흐지부지 되고 엇나가는 개그와 신파로 진부하다. ',5
'너무 잘 만든 영화! 추천합니다',10
'ㄱ지루함 보다가 졸음ㅜ',2
'즐겁고 행복해 보여도 눈물이 난다.',8
'ㅇㄴ이거레전드로 재밌어요 사극별로 안좋아해서 기대안하고봤는데 스릴감짱',10
'역시 믿고보는 감독님이다...',10
'무.조.건 봐야한다. 반전의 반전과 긴장감 .배우들 연기력 그리고 2시간이 그냥 사라짐.. 오랜만에 진짜 영화 한 편 봤다 ',9
'청주배경으로 이런 재밌는 영화가 나오려낭? ㅎㅎ',9
'제 점수는 10점입니다.',10
'가면라이더판 어벤저스와 멀티버스',5
'영화개봉당시 무섭다고 소문나서 다들 이 영화 이야기뿐이었던 걸로 기억해요! ㅎㅎ ',10
'재밌는 영화인데 평점 너무 짜네',10
'재밌게 잘봤어요 뮤지컬 못봐서 아쉬웠는데 현장에서 뮤지컬보는것같았어요 못보신분들 강추합니다 애가 눈을떼지않고 몰입하네요 어른인 제가 들어도 노래들은 너무 신났어요 지니강이 밝은 에너지가 애들한테 너무 좋은시간을 선사해주네요',10
'심플한 소재를 이렇게 대단한 연기와 연출로 표현하다니…!!',8
'루카 구아다니노의 연출이 가미된 외딴 곳에서 피어나는 잔혹한 사랑이야기',9
'와 고소공포증이 없는데도 고소공포증이 생길정도임.. 짜릿짜릿함. 역시 47m 제작진이라 그런가 소소한 반전도 있었음',8
'&amp;#39;기억&amp;#39;에 남게될지도 모를 일본영화..',8
'',10
'단호하게 친일파가 제거되는 것이 감동적이다.',10
'It Is You  정말 명곡.',10
'뻔하고 재미없고 귀엽지 않음',1
'감각적인 비주얼과 영상미',10
'재밌게봤어요~!!! 굿굿',10
'이제는 중년이 된 원작배우들과 신인배우들의 연기를 비교하는 재미.',5
'역사와 서스펜스,7
'',10
'쉽게 접할수 없는 소재 였지만 괜찮게 풀어 낸거 같아요.. 배우분들 연기도 좋았구요.. 영화 잘 봤어요!',8
'저는 류준열 배우님과 유해진 배우님의 연기가 정말 좋았어요,9
'티키타카가 재밌었어요 ㅋㅋㅋ 코믹하고 웃김요 ㅋㅋ',10
'전에 영화관 메가박스 코엑스점에서 본 영화! 남자배우김수현,8
'종교를 떠나 누가봐도 감동적인실화영화라역사와 종교를 이해하는데 많은 도움됩니다.  김대건 안드레아신부의  불꽃같은 짧은생애가 안타까워 눈물나게 감동받고여운이 진하게 남아서  N차관람하렵니다.오랜만에 나를 돌아보고 정신적으로 쉼을주는 영화. 입소문타고 흥행으로이어지길.배우 윤시윤 인생작!!! ',10
'역사의 공백을 채우는 좋은 상상력이란 이런 것이 아닐까. 올해를 마감하는 괜찮은 한국영화.',7
'씁쓸해지는 영화',7
'잔혹동화에 진심인 감독',8
'3시간이 길게 느껴지지 않는 영화',10
'리뷰 잘 안쓰는데요~ 이건 꼭 쓰고싶어요  영화 보는거 장시간 집중해야해서 즐기는편이 아님에도 너무 너무 재밌었습니다!!!!역시 왕의남자 감독님이여서 그런지 진짜 제 인생 영화 입니다 별점 만점이 아닌이유는 영화관에서 두번 더 볼예정이기 때문에 비워두었습니다!!당장 보세요!!! ',9
'추모로 시작해 추모로 끝나는 확장 느낌. 채드윅 보스만의 부재가 너무 크다.',6
'가볍게 있을수 있고   신파극 없어서 좋았습니다ㆍ',10
'그럭 저럭 볼만함ㅎ초반에 넘지루함',6
'몰입도 너무 좋고 긴장감 대박시간 가는줄 모르고 봄',10
'호불호 솔직히 갈릴수있다고 봄 난 재밌게 봤음',10
'시나리오를 10명이서 돌아가면서 썼나ㅋㅋ결말 진짜 ㅋㅋㅋ개웃기네',1
'국뽕 차오르는 영화 이지만,10
'사랑에 빠진게 죄는  아니잖아6 정도',6
'올해 마지막을 장식할 최고의 작품..반전때부터 긴장감을 놓칠수 없다..',10
'나만 볼만하고 재미있는건가...좀 산만하긴해도 잼있는데 ',8
'계속 되어야 할 일들',8
'내용은 그럭저럭 다죽는거 비추이나신선하네~ 소재가 신선해서 괸찮았다.난 또 마약 범죄수사물인줄 알았는데',8
'말이 필요없다 존나 재밌다',10
'쫄깃 쫄깃 두근 두근 스릴러',10
'김사경의 웃지도못할 연기력과 무능한감독의 떨어지는 이야기 전달력 날림 연출 ott에 풀려서 아니 왜 이영화는 몰랐지? 했는데죽을때까지 모르고 지나쳤어도 무방할 영화였다',2
' 초반부는 약간 진부했지만 독살씬 이후 팝콘을 잊어버릴 정도로 휘몰아치는 전개에 긴장감이 조여온다. 섬세한 사운드와 연출로 장르만 스릴러가 아닌 진짜 스릴을 제대로 느낄 수 있었다. 반전의 독살 장면은 정말 충격이었다. 경수의 시점에서 불이 꺼지고 사실이 눈앞에 나타나니 당사자가 된 듯 심장이 쿵쿵거렸다. 물수건은 피에 젖어있고 세자는 피범벅이었다. 듬직했던 어의는 한순간에 악인이 되었다. 짧은 장면으로 오래간만에 신선한 충격에 젖을 수 있었다. 정말 감명 깊었고 다시는 잊지 못할 반전씬이 될 것 같다. 경수가 원손을 업고 나오는데 날이 밝아 다시 지팡이를 쥐던 장면에선 막막함에 가슴이 아려오기도 했다. 한줄기 빛이었던 어둠이 빛과 함께 사라졌다. 그런 한계 속에서도 걸음을 다하는 경수,9
'잭 오코넬이라는 배우를 이제야 눈여겨 보게 되었네요. 알고보니 내가 본 영화 다수에 출연했던데 이 매력을 몰랐다니. 스토리 기대못할 내용이지만 남배우 보는 재미에 시간가는줄 몰랐어요!',8
'플롯의 매력이 어설프면 어떻게 되는지를 잘 보여준 작품이 아니었을까..',6
'진짜 내가 본 모든 영화 중 제일 웃김',10
'역사적인 사실을 침봉사의 시각으로 픽션으로 꾸며진 것에 대한 스토리라인이 매우 좋았다. 그리고 유해진 배우와 류준열 배우의 연기가 색다르게 다가왔다.',10
'마지막 경찰차가 왔을때 그 장면이... 정말 비틀기의 진수',10
'어릴 때 나는 아니었지만,10
'인생영화,10
'배우들의 뛰어난 연기와 스토리의 탄탄한 구성이 마지막까지 몰입하게 만듦',10
'재밌게 잘봤습니다 :)',10
'',6
'재밌게 잘봤습니다 :)',8
'',10
'재밌게 잘봤습니다 :)',10
'원작 소설을 보기 전 영화를 먼저 봤는데 원작 소설도 읽어보고 싶어지는 영화. 영화를 보는 내내 울면서 보느라 시간 가는 줄 모르고 봤던,10
'무조건 봐야돼ㅠㅠ 오랜만에 영화다운 영화 봤어요!!!',10
"'핵노잼,오냐오냐 하니깐 이렇게 발로 만들어도 좋다고 빨아줄래 식으로 만든 관객우롱  평론가 조롱 영화",1
'초반에 약간 지루한거 빼면 최고 넘 재밌었음 ',10
'개연성이 없지만 전혀 지루하지 않고 가볍게 보기 좋은 듯 재밌었음차은우는 눈물만 흘리면 ㄱㅊ은데 말만 하면 너무 깸 연기땜에',10
'여주가 원래 이쁜 배우가 못생김을 연기했으면 어떨까하는 아쉬움..마지막에 딱 이쁘게 나오는.. 응답하라 시리즈처럼 누가 부마가 될까로 연출해서 드라마로 만들었으면 엄청 재밋었을듯 유치한거 좋아하는데 영화는 많이 아쉬움 ',6
'',10
'보아의 연기는 형편없어서 도무지 참고 보기 힘들고,4
'의미 있는 실화에 대해 놀라울 정도로 형편없이 각색된 영화다. 진행은 산만하고,4
'도대체 ㅋㅋㅋ차은우같은 방구석 잉여들 찬양하는 듣보 아이돌을 왜 꾸역꾸역 껴넣은거?',2
'처음에는  현재 나이에 나는 별로 몰입이 안되었다. 간지러운 대사 연기때문인거 같다 그런데 딱 기억은 못해도 마음 몸...?이 기억한다? 주인공이 장례식장 갔을때 울었을때...그때 부터 나의 울음포인트 였다 그때부터 감정이입이되었음...그래두 볼만한 추천추천',9
'내 여동생이 이렇게 귀여울리가 없어~던전에서 만남을 추구하면 안되는걸까?중2병이라도 사랑이 하고 싶어.정말 제목부터가 재치가 넘치는구만?(웃음)',8
'',10
'스토리가 흥미로워서 재밌었어요!',9
'',10
'음.. 영화 감독이 ado 노래를 듣고 감명 받아서 &amp;#39;이 가수의 노래를 널리 알려야 해..!&amp;#39; 하고 만든 것 같은 영화. 시작부터 끝까지 노래가 반 잡아먹는 느낌(물론 느낌만 그렇고 실제로 그렇진 않겠지만)이해가 안 되는 전개도 있었고,5
'재미없습니다....',2
'다시 말해 공수부대...그린 베레에서 차출되면 특전사(특수전사령부)대원 특전사에서 차출되면UDT나UDU나HID또는707특작부대',6
'',10
'내가 본 가장 잔인한 영화,10
'기대 안하고 보고 너무 잼나게 봤네요.촤곱니다',10
'박평식이 또 질병이 도졌냐?허세왕 박평식이 영화평론가를 가장한 독설전문가',7
'그냥 가볍게 보기 조아요',10
'서사 좋았고 전투씬 개쩔었음 ㄹㅇ',10
'우블에서 찐팬이 되어 장마비가 오는데도 영화보러 왔습니다~정말 힘도 얻고 힐링도 되고 뭔가 느껴지는 영화 입니다 좋아습니다 굿~',10
"'우아,,,연기 미쳤고 스토리 미쳤고반전에 반전 미쳤음!!사운드 미쳣고!영화 후기 처음남김재밋는거에 비해 소문이 너무 안남!!!'",10
'감성적인 대사와 아련하고 따스한 분위기',3
'',10
'광고좀 그만하소..인스타광고를 너무 때리시는듯',4
'사랑사랑사랑사랑사랑',10
'별점 10개도 모자를 정도로 울었다',10
'영화 한편에 3부작을 넣어서 전개를 하는데,3
'신화의 너머에 존재하는 어둡고 습한 곳',7
'울고,10
'주인공에게 이렇게 공감이 안 되기는 처음이다',2
'너무 재미있어요..',10
'청년 김대건이라는 인물이 매력적이었다.그 시대배경을 생각한다면 대단하고 용기와 패기..ㅎㅎ 외국어를 배워가며  머나먼 타국에서 신앙이라는 게 뭔지...아무튼 많은것을  생각하게했다.자극적이지 않은 영화..감동이 잔ㅏㄴ히 오는 영화인듯..',10
'연출 그냥 미첬다...넋놓고 봤네요',10
'뭔말인지 알쥐!!! 이거만 들린다 ',8
'달 기지와 배우 한명만으로 우리 사회를 보여주는 감독의 역량. 엄청 쫀쫀한 영화를 기대했다면 실망하겠지만,9
'',10
'인조와 소현세자 얘기는 잘 알려져 있지만,7
'그냥 미쳤다.. 연출 몰입감 최고였음 손에 땀이 멈추질않음 .. 이제는 분명 류준열의 시기가 온듯',10
'보는내내 긴장감 최고! 올해 개봉한 한국영화중 가장 재밌었습니다',9
'스토리도 탄탄하고 유해진과 류준열의 미친 연기도 인상적이고 시간 가는줄 모르고 재밌게 봤습니다.',10
'아무리 영화평이 주관적이라고 하지만보는사람마다 받아들이는 수준 해석하는수준여러가지가 있는건 알겠는데평점이 왜 이렇게 높은지 이해할수없네요저는 개인적으로 돈주고 영화관에서 보는건말리고 싶습니다 이건 아니야',2
'이게 뭔 개연성 밥 말아 먹었나 했더만 마지막 보고 평점 좀 더 줌. 처음부터 아내의 계획이었다라...서사를 좀만 더 쓰지 그랬음 못 알아먹는 사람도 많을텐데.',8
'난 웃긴데,10
'너무 사실적인 배경과 인물 묘사,10
'정말 좋은 메세지를 담고 있는 영화입니다',10
'진짜 내시간이 사라졌다..',4
'무미건조한 억지웃음보단 진심어린 시원한 웃음으로',10
'이런게 명작 아닌가? 스토리 참신하고 남주 여주 케미 쩔고 비주얼 작살에 연기까지 일품♥?',10
'당신과 함께 봐서 좋았습니다.',7
'오랜만에 진짜 깔깔대면서 봤어요!다시 보고 싶게 만드는 영화에요',10
'0점은 없냐감독이 변혁이네?',1
'결론 먼저 말하자면 표값은 하는 영화. 흥미진진하게 볼 수 있었다 다만 이 작품이 왜 8.7이라는 평점까지 올라가는지는 의문. ',7
'킹프리를 즐긴 자 이 영화도 잘 볼 것입니다.',10
'맥스 보는맛에봤는데 마야는 앞으로 영화 나오지마라. 애비얼굴에 똥칠을',6
'진짜 보는내내 웃기네요.  독일어하는장면은 진짜 배꼽빠졌습니다ㅋㅋㅋㅋ ',10
'',7
'정원이 죽기전에 한번 만나게 해주지에휴.모진 사람아 ',10
'진짜 보지마세요 제발;;클리셰 범벅에 못해 담궜음광고 하도 때리고진짜 너무 노잼여주친구는 옷 왜그렇게 입혔냐',2
'15번 이상은 본 것 같은데 볼때마다 울어요….',10
'빌런이 없는 영화--이 배우로 이 스토리로 넘 아쉬운 전개.',8
'뭐하세요? 예매 안 하고',10
'간만에 볼만한 스릴러물',10
'공포영화 본 중. 최고였습니다표현이 안되 어렵네요',10
'손에 땀을 쥐고 봤어요! 소름돋는 스토리와 소름돋는 연기력이 정말 … 최고였어요ㅠㅠㅠ',10
'연애하고싶어지는 영화노출장면이 있지만 그게 외설적이고 야하다기보다 설렘오랜만에 영화다운 영화본거같음',10
'',10
'걍 중국영화 본거같음....',4
'개신교든 천주교든 한번쯤 봤으면 좋겠네요  ',8
'재미진 드라마군 지금은 불가능한',10
'와 진짜 대박... 몰입도 대박이에요 사극은 개인적으로 제 스타일 아니라 별로 안 좋아하는데 사극이 이렇게 재밌을 수가 있다니... 꼭 보세요 정말!! 입소문 많이 타서 천만 영화 되기를 바랍니다',10
'실존했던 인물인 김대건 신부님의 삶과 또 그분과 함께 했던 성도들의 모습을 영화를 통해 바라보면서 큰 감동을 느꼈던 시간이었습니다. ',10
'원피스 특유의 전투씬이 별로 없는것은 아쉽지만 ost하나는 기깔나게 뽑음 단점은 너무 극적인 전개',9
'자칫 지루할 수있는 내용이었는데 스릴감있게 잘 만들었어요',10
'이게 왜 대체 이해를 못하겠네',1
'',8
'큰 감동을 받았습니다. 다만 역사를 공부하고 가야 더욱 영화의 내용을 깊이 이해할 수 있으리라 생각됩니다.',10
'진짜 일어났으면 좋겠다 친일파 척살 ㅋㅋㅋ',10
'진짜 존잼탱….간만에 진짜 재밌는 영화봤어요!류준열 진짜 연기 체고',10
'5점 준사람 진짜...영상미는 좋아요원피스영화중에 최악 ..정신없고 집중안되고',2
'일본풍의 제임스 본드라...',5
'이걸영화라고 찍은거냐?? 범죄도시 흥행하니까 이것도 잘될꺼라생각한거야? 에휴 내돈',1
'너무아름답고 슬픈영화입니다~!!!추천',10
'',10
'무한 감동중 역시 믿고 보는 기예르모 델토로 감독님 ',10
'이런 영화..진짜..한국 영화 수준 낮아진다..',2
'오랫만에 극장에서 눈물이 흘렀어요 영화보고몰랐던것을 많이 알게되었어요',10
'원작 보고 보세요 정말 재밌습니다 ㅠ 순수한 사랑이 무엇인지 알게 해주는 영화 ',9
